host_ip,n_connections,n_unique_dsts,n_unique_dst_ports,total_bytes_sent,avg_bytes_sent,std_bytes_sent,total_bytes_received,avg_bytes_received,bytes_ratio,total_packets_sent,avg_packets_sent,total_packets_received,packets_ratio,avg_duration,std_duration,max_duration,min_duration,proto_entropy,tcp_ratio,udp_ratio,icmp_ratio,dst_entropy,port_entropy,n_unique_services,service_entropy,state_entropy,rst_ratio,fin_ratio,established_ratio,avg_sttl,std_sttl,avg_dttl,avg_sload,max_sload,avg_dload,total_sloss,loss_ratio,avg_sjit,conns_per_dst,bytes_per_conn,attack_ratio,primary_attack_cat,anomaly_score,anomaly_rank
001795,100,1.85,0,15247739,152477.39,1297539.1326572571,1124662,11246.62,13.557619089112995,12558,125.58,3226,3.892746435213887,2.5054744699999993,7.427457328744895,59.97036,3e-06,0.7457035162605894,0.84,0.13,0.0,1.5008020530571577,0,5,1.6727557190302247,0.853611223393761,0.0,0.82,0.07,206.0,83.55727485873496,214.68,28595678.76291227,1371200000.0,26687.605740569998,5572,0.443701226309922,14275.17966528,54.05405405405405,163724.01,1.0,Exploits,0.6218191058511283,11
001620,100,1.72,0,11380009,113800.09,1050174.9620349617,420915,4209.15,27.036358884810472,10272,102.72,2264,4.5371024734982335,6.203455479999999,16.441432539206936,59.980972,4e-06,1.2895065939758807,0.72,0.09,0.0,1.3840498067951599,0,7,1.6387577849659325,1.2722424847965925,0.0,0.71,0.09,194.48,89.24605415265249,186.24,9157519.500204599,168000000.0,30950.028431469997,4435,0.431756230529595,14582.07013964,58.139534883720934,118009.24,1.0,Exploits,0.6163147274783942,12
001373,100,3.1,0,16364282,163642.82,1078790.6486428962,698813,6988.13,23.417254687591672,13057,130.57,2642,4.942089326267979,1.3805367100000001,6.829315581859879,59.963612,1e-06,2.937571953216206,0.36,0.09,0.0,1.298658315564515,0,4,0.7258840990979307,1.0086071338439866,0.0,0.35,0.01,234.8,57.890178158930624,90.72,104081185.45311296,1007500032.0,12960.785693310001,6316,0.48372520487095044,7804.183438249997,32.25806451612903,170630.95,1.0,Exploits,0.6127009792251721,13
002453,100,19.51,0,10248977,102489.77,1012499.2695788846,64460,644.6,158.99747130003104,8126,81.26,1316,6.174772036474164,1.54698051,6.865080336729926,59.837868,1e-06,0.9077729939704454,0.16,0.79,0.0,4.129283016944966,0,5,1.1533956187994716,0.9617394046291674,0.0,0.15,0.01,240.56,49.235020795438615,40.32,94261380.71830332,1328000000.0,1629.35678097,3898,0.4796948067930101,3435.26179694,5.125576627370579,103134.37,1.0,Generic,0.5979102477987487,14
000494,100,2.87,0,14751366,147513.66,1015479.61752795,1172670,11726.7,12.579298523881398,12060,120.6,2994,4.028056112224449,2.4897219199999996,9.31793286696938,55.103306,1e-06,1.928644814342543,0.51,0.26,0.0,1.9745293124838819,0,8,1.9032577972339226,0.99971144175281,0.0,0.51,0.0,217.52,75.70123092550322,128.52,90352525.61958101,1025600000.0,31435.836955490005,5701,0.47271973466003314,2609.0519383799997,34.84320557491289,159240.36,1.0,Fuzzers,0.5976231827945601,15
000533,100,2.25,0,15138470,151384.7,981684.8602852457,3234082,32340.82,4.680917181444379,12294,122.94,4535,2.710915104740904,1.7959778300000002,6.458628580210724,44.135319,2e-06,1.9032539899724672,0.52,0.26,0.0,1.7782085763980877,0,6,2.049617908551122,0.9988455359952018,0.0,0.52,0.0,209.84,81.20689625887692,131.05,45423683.58160588,228000000.0,38699.18805759001,5673,0.46144460712542706,2440.37477317,44.44444444444444,183725.52,1.0,Exploits,0.5955015287857706,16
000496,100,2.39,0,15044835,150448.35,1088294.7753885374,483567,4835.67,31.11220368635577,12260,122.6,2468,4.9675850891410045,1.5435215,6.757068828752314,59.994354,2e-06,2.1823002856693257,0.48,0.22,0.0,1.835924074254375,0,7,1.7030573419060118,1.0689707760528673,0.0,0.47,0.01,225.2,68.90309400626626,120.96,81318495.41792753,1418666624.0,35234.81872808,5754,0.4693311582381729,2009.4462507599999,41.84100418410041,155284.02,1.0,Fuzzers,0.5909175968866084,17
002434,100,21.15,0,9760421,97604.21,955277.3477350347,529468,5294.68,18.434392635626704,7676,76.76,1562,4.914212548015365,0.782779,6.029278743170282,59.989578,1e-06,0.4364698170641029,0.09,0.91,0.0,4.073820233291672,0,6,0.8019805038422989,0.48176306719391104,0.0,0.08,0.01,244.4,42.056239403057354,22.68,87118068.68727352,456000000.0,8563.907502439999,3688,0.48045857217300675,9353.89037295,4.728132387706856,102898.89,1.0,Generic,0.5878009072523981,18
002025,100,15.88,0,10434872,104348.72,1038578.0624746594,154948,1549.48,67.3443477811911,8352,83.52,1442,5.791955617198336,1.37895152,8.090927224035445,58.11919,2e-06,1.3361772944106702,0.19,0.65,0.0,3.5570424152637194,0,4,1.3782335468920655,0.7792074863105536,0.0,0.19,0.0,236.72,55.22371032281498,47.88,95519846.93152836,789333312.0,8599.73621135,4003,0.47928639846743293,1249.3328568000002,6.297229219143577,105898.2,1.0,Generic,0.5809388477483587,19
000064,100,2.57,0,11275111,112751.11,929782.194899678,5490910,54909.1,2.053413914997696,9958,99.58,5974,1.6668898560428524,1.5156908799999997,6.415930525425754,59.970741,2e-06,1.6417505662289325,0.62,0.17,0.0,1.3448284969974411,0,6,1.5907885210615793,1.0318939587528015,0.0,0.61,0.01,211.76,79.9359743794995,156.24,156241507.45040435,3428000000.0,44977.960377519994,4457,0.4475798353082948,2356.8911605800004,38.91050583657588,167660.21,1.0,Exploits,0.5690747689117018,20
